2806160067	"The lamp of the body is the eye. Therefore if your eye is sound, your whole body will be well lighted;
2806170089	"but if your eye is unsound, your whole body will be darkened. If then the very light within you is darkness, how dense is that darkness!
28061800bc	"No slave can serve two masters, for either he will hate the one and love the other, or he will pay heed to the one and despise the other. You cannot be the slaves both of God and of gold.
28061900f3	"For this reason I say to you, do not be anxious about your life, inquiring what you shall eat or what you shall drink, nor yet for your body, inquiring what you shall wear. Is not your life more than its food, and your body than its clothing?
28061a009c	"Behold! the birds in the sky! They neither sow, nor reap, nor gather into barns, yet your heavenly Father feeds them; and are not you worth more than they?
28061b0050	"Which one of you by being anxious is able to add even one cubit to his stature?
28061c007a	"Why be anxious then about clothing? Consider the lilies of the field, how they grow. They toil not, neither do they spin.
28061d0055	"But I say to you that not even Solomon in all his glory was robed like one of these.
28061e009e	"If God then so clothes the grass of the field, which blooms today, and tomorrow is cast into the oven, will he not much more clothe you, you of little faith?
28061f0075	"Then do not be anxious, saying, ‘What shall we eat?’ or ‘What shall we drink?’ or ‘What shall we wear?’"
280620007f	"For all these are things that the Gentiles are eagerly seeking; for your heavenly Father knows that you have need of them all.
280621006a	"But continue to seek first his kingdom and his righteousness, and all these things shall be added to you.
280622007d	"Do not then be anxious about tomorrow, for tomorrow will bring its own anxieties. Enough for each day are its own troubles."
280701002f	"Judge not, that you may be judged, yourselves;
2807020073	"for with what judgment you judge, you will be judged, and in what measure you measure, others will measure to you.
280703006f	"And why do you look at the mote in your brother’s eye, and fail to notice the beam which is in your own eye?
2807040082	"Or how will you say to your brother, ‘Permit me to remove the mote from your eye,’ when, behold, the beam is in your own eye?
2807050086	"Hypocrite! First cast out the beam from your own eye, and then you will see clearly how to cast the mote out of your brother’s eye.
2807060098	"Do not give what is holy to the dogs, nor cast your pearls before swine; lest in turn they trample them under their feet, and then turn and attack you.
2807070063	"Ask, and it will be given you; seek, and you will find; knock, and the door will be opened to you.
2807080063	"For every one who asks receives, and he who seeks finds, and to him who knocks the door is opened.
280709004f	"What man of you is there who, when his son asks a loaf, will give him a stone?
28070a0037	"or if his son asks for a fish, will offer him a snake?
28070b009a	"If you then, evil as you are, know how to give good gifts to your children, how much more will your heavenly Father give good gifts to those who ask him?
28070c007c	"Therefore everything that you would have men do to you, do you also the same to them; for this is the Law and the Prophets.
28070d0080	"Enter by the narrow gate; for broad is the gate and wide the road that leads to destruction, and many are they who go in by it;
28070e0061	"but the gate is narrow and the road is steep, which leads to life, and they are few who find it.
28070f0069	"Beware of the false prophets who come to you in sheep’s clothing, but within they are ravening wolves.
2807100058	"By their fruits you will know them. Are grapes gathered of thorns, or figs of thistles?
280711004c	"No, every good tree bears good fruit, but a worthless tree bears bad fruit.
2807120051	"A good tree cannot bear bad fruit; neither can a worthless tree bear good fruit.
280713004e	"Every tree which does not bear good fruit is cut down and cast into the fire.
280714002f	"Hence it is by their fruit you will know them.
280715008e	"Not everyone who says to me, ‘Lord, Lord,’ will enter into the kingdom of heaven, but he who does the will of my Father who is in heaven.
28071600a4	"Many in that day will say to me, "‘Lord, Lord, have we not prophesied in your name, and in your name cast out demons, and in your name done many mighty works?’
2807170061	"Then I will tell them plainly, "‘I never knew you; depart from me, you workers of iniquity.’
2807180069	"Every one who hears my words and does them I will liken to a wise man who built his house upon the rock.
280719008d	"And the rain descended, and the floods came, and the winds blew, and beat upon the house, but it fell not, for it was founded upon the rock.
28071a0081	"And every one who hears these words of mine and does them not, I will liken to a foolish man, who built his house upon the sand.
28071b0087	"And the rain descended, and the floods came, and the winds blew, and beat upon that house, and it fell, and great was the fall of it."
28071c0055	Now when Jesus had finished his discourse, the crowds were astounded at his teaching,
28071d0057	for he was teaching them as one having authority, and not as their scribes taught them.
280801003d	As he went down from the mountain, great crowds followed him.
2808020063	And behold! a leper came and knelt before him, saying, "Lord if you choose, you can make me clean."
2808030084	Jesus stretched out his hand and touched him "I do choose," he said, "become clean," and immediately he was cleansed of his leprosy.
2808040095	Jesus said to him, "See that you tell no one, but go, show yourself to the priest, and offer the gift which Moses commanded, as an evidence to them."
2808050041	When he entered Capernaum, an army captain came, and entered him,
2808060050	saying, "Lord, my slave at home is lying ill with paralysis, in terrible agony."
2808070027	"I will come and heal him," said Jesus.
2808080083	"Lord, "said the captain in reply, "I am not worthy to have you under my roof, but speak the word only, and my slave will be cured,
28080900c8	"For I myself also am a man under authority, and I have soldiers under me. To one man I say ‘Go,’ and he goes; to another,’Come,’ and he comes; and to my slave, ‘Do this,’ and he does it."
28080a00a6	As Jesus listened to this reply he was astonished, and said to those who followed him. "In solemn truth I tell you that I have found faith like this in any Israelite.
28080b0088	"I tell you that many will come from the east and from the west, and sit down with Abraham and Isaac and Jacob in the kingdom of heaven.
28080c007c	"but the sons of the kingdom will be cast out into the outer darkness; there will be the wailing and the gnashing of teeth."
28080d007a	Then Jesus said to the captain. "Go! As you have believed, so be it unto you." And his slave was healed in that very hour.
28080e0059	When Jesus came into Peter’s house, he found his wife’s mother prostrated with fever.
28080f004f	He touched her hand, and the fever left her; and she arose and waited upon him.
2808100074	At evening-time they brought to him many demoniacs. He cast out the demons with a word, and healed all who were ill,
280811008d	that the word spoken through Isaiah the prophet might be fulfilled, He took upon himself our weaknesses, and bore the burden of our diseases.
280812005e	When Jesus saw the great crowds about him, he had given directions to cross to the other side,
2808130054	when a Scribe came up and said to him, "Teacher, I will follow you wherever you go!"
2808140083	"Foxes have their holes," answered Jesus, "and wild birds their roosting-places, but the Son of man has not where to lay his head."
2808150056	Another of his disciples said to him, "Lord, allow me first to go and bury my father,"
280816004c	"Follow me," Jesus said to him, "and leave the dead to bury their own dead."
2808170045	Then he went in board a fishing-boat, his disciples accompanying him;
280818005e	and behold, a sudden storm arose on the sea, so that the boat began to be buried by the waves.
2808190057	But he was asleep. And they came and woke him, saying. "Lord save us! We are drowning!"
28081a0086	"Why are you afraid?" he said, "you men of little faith!" Then he rose and rebuked the winds and the sea, and there came a great calm.
28081b0068	But the men were amazed, saying, "What manner of man is this, that even the winds and the sea obey him?"
28081c00c7	When he arrived on the other side, in the country of the Gadarenes, he was met by two demoniacs who were coming out of the tombs. They were so violently fierce that no one dared pass along that road.
28081d006a	"You Son of God," they shouted, "what have you to do with us? Are you come to torment us before the time?"
28081e0048	Now there was, at some distance from them, a herd of many swine feeding;
28081f006e	and the demons began entreating him. "If you are driving us out," they said, "send us into the herd of swine."
28082000b1	He answered, "Go!" So they came out of the men, and went into the swine, and behold! the entire herd rushed headlong down from the cliff into the sea, and perished in the water.
280821006d	The swineherds fled. They went away into the city and told all about it, and what had befallen the demoniacs.
280822007d	At once all the citizens came out to meet Jesus; and when they had seen him, they begged him to move away from their country.
280901003f	So he went on board, crossed the sea, and came to his own city.
2809020095	And here they brought to him a paralytic lying on a bed. When Jesus saw their faith he said to the paralytic, "Courage, son, your sins are forgiven."
280903004a	And behold! certain scribes said to themselves, "This man is blaspheming."
2809040033	And because Jesus knew well their thought, he said.
280905007f	"Why do you think evil in your hearts? For which is easier, to say’Your sins are forgiven,’ or to say, ‘Rise and walk’?
280906009d	"But that you may know that the Son of man has power on earth to forgive sins"- he then says to the paralytic, "Rise, take up your bed, and go to your home."
2809070021	And he rose and went to his home.
2809080055	But all the crowd were awestruck, and glorified God, who had given such power to men.
2809090070	As Jesus was passing thence, he saw a man called Mathew sitting at the tax-office, and said to him, "Follow me."
