28020f0160	ⲛⲉϥϣⲟⲟⲡ ⲇⲉ ϩⲙ ⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ϣⲁⲛⲧⲉϩⲏⲣⲱⲇⲏⲥ ⲙⲟⲩ ϫⲉⲕⲁⲥ ⲉϥⲉϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓ ⲡⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ ϫⲟⲟϥ ϩⲓⲧⲙ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲁⲓⲙⲟⲩⲧⲉ ⲉⲡⲁϣⲏⲣⲉ ⲉⲃⲟⲗ ϩⲛ ⲕⲏⲙⲉ
280210020f	ⲧⲟⲧⲉ ϩⲏⲣⲱⲇⲏⲥ ⲛⲧⲉⲣⲉϥⲛⲁⲩ ϫⲉ ⲁⲩⲥⲱⲃⲉ ⲙⲙⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲛ ⲙⲙⲁⲅⲟⲥ ⲁϥϭⲱⲛⲧ ⲉⲙⲁⲧⲉ ⲁϥϫⲟⲟⲩ ⲁϥⲙⲟⲩⲟⲩⲧ ⲛϣⲏⲣⲉ ϣⲏⲙ ⲛⲓⲙ ⲉⲧϩⲛ ⲃⲏⲑⲗⲉⲉⲙ ⲙⲛ ⲛⲉⲧϣⲟⲟⲡ ϩⲛ ⲛⲉⲥⲧⲟϣ ⲧⲏⲣⲟⲩ ϫⲓⲛⲣⲙⲡⲉ ⲥⲛⲧⲉ ⲉⲡⲉⲥⲏⲧ ⲕⲁⲧⲁⲡⲉⲩⲟⲉⲓϣ ⲛⲧⲁⲩϩⲉⲧϩⲱⲧϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲙⲙⲁⲅⲟⲥ
28021100a9	ⲧⲟⲧⲉ ⲁϥϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓ ⲡⲉⲛⲧⲁⲩϫⲟⲟϥ ϩⲓⲧⲛ ⲓⲉⲣⲏⲙⲓⲁⲥ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ
2802120126	ϫⲉ ⲟⲩⲥⲙⲏ ⲁⲩⲥⲱⲧⲙ ⲉⲣⲟⲥ ϩⲛ ϩⲣⲁⲙⲙⲁ ⲟⲩⲣⲓⲙⲉ ⲙⲛⲟⲩⲧⲟⲉⲓⲧ ⲉⲛⲁϣⲱϥ ϩⲣⲁⲭⲏⲗ ⲉⲥⲣⲓⲙⲉ ⲉⲛⲉⲥϣⲏⲣⲉ ⲁⲩⲱ ⲙⲡⲉⲥⲟⲩⲱϣ ⲉⲥⲗⲥⲱⲗⲥ ϫⲉ ⲛⲛⲟⲩⲥ ⲁⲛ ⲛⲉ
28021300da	ⲛⲧⲉⲣⲉϥⲙⲟⲩ ⲇⲉ ⲛϭⲓ ϩⲏⲣⲱⲇⲏⲥ ⲉⲓⲥ ⲡⲁⲅⲅⲉⲗⲟⲥ ⲙⲡϫⲟⲉⲓⲥ ⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ϩⲛ ⲟⲩⲣⲁⲥⲟⲩ ⲉⲓⲱⲥⲏⲫ ϩⲛ ⲕⲏⲙⲉ
2802140126	ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲧⲱⲟⲩⲛ ⲛⲅϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛ ⲧⲉϥⲙⲁⲁⲩ ⲛⲅⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩⲙⲟⲩ ⲅⲁⲣ ⲛϭⲓ ⲛⲉⲧϣⲓⲛⲉ ⲛⲥⲁⲧⲉⲯⲩⲭⲏ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ
28021500af	ⲛⲧⲟϥ ⲇⲉ ⲁϥⲧⲱⲟⲩⲛ ⲁϥϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛ ⲧⲉϥⲙⲁⲁⲩ ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲙⲡⲓⲥⲣⲁⲏⲗ
28021601a0	ⲁϥⲥⲱⲧⲙ ⲇⲉ ϫⲉ ⲁⲣⲭⲏⲗⲁⲟⲥ ⲡⲉⲧⲟ ⲛⲣⲣⲟ ⲉϫⲛ ϯⲟⲩⲇⲁⲓⲁ ⲉⲡⲙⲁ ⲛϩⲏⲣⲱⲇⲏⲥ ⲡⲉϥⲉⲓⲱⲧ ⲁϥⲣ ϩⲟⲧⲉ ⲉⲃⲱⲕ ⲉⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ⲁⲩⲧⲟⲩⲛⲉⲓⲁⲧϥ ⲇⲉ ⲉⲃⲟⲗ ϩⲛ ⲟⲩⲣⲁⲥⲟⲩ ⲁϥⲁⲛⲁⲭⲱⲣⲉⲓ ⲉϩⲣⲁⲓ ⲉⲙⲙⲟⲟϣⲧⲉ ⲛⲧⲅⲁⲗⲓⲗⲁⲓⲁ
280217014d	ⲁϥⲉⲓ ⲁϥⲟⲩⲱϩ ϩⲛ ⲟⲩⲡⲟⲗⲓⲥ ⲛϣⲁⲩⲙⲟⲩⲧⲉ ⲉⲣⲟⲥ ϫⲉ ⲛⲁⲍⲁⲣⲉⲑ ϫⲉⲕⲁⲥ ⲉϥⲉϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓ ⲡⲉⲛⲧⲁⲩϫⲟⲟϥ ϩⲓⲧⲙ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲉ ⲥⲉⲛⲁⲙⲟⲩⲧⲉ ⲉⲣⲟϥ ϫⲉ ⲡⲛⲁⲍⲱⲣⲁⲓⲟⲥ
28030100de	ϩⲣⲁⲓ ⲇⲉ ϩⲛ ⲛⲉϩⲟⲟⲩ ⲉⲧⲙⲙⲁⲩ ⲁϥⲉⲓ ⲛϭⲓ ⲓⲱϩⲁⲛⲛⲏⲥ ⲡⲃⲁⲡⲧⲓⲥⲧⲏⲥ ⲉϥⲧⲁϣⲉⲟⲉⲓϣ ϩⲣⲁⲓ ϩⲙ ⲡϫⲁⲓⲉ ⲛϯⲟⲩⲇⲁⲓⲁ
280302008d	ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲙⲉⲧⲁⲛⲟⲓ ⲁⲥϩⲱⲛ ⲅⲁⲣ ⲉϩⲟⲩⲛ ⲛϭⲓ ⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ
