3a0000000b	aBiraniyawa
3a04030104	Saanuwa haro sa ⁺tine iruwa yooro taticiye unugi wo nivanzanko neenno. Ashini ⁺ukuna, “Wərike nongo ⁺n-yane ituna ne aməmo ukara wom, ‘Aza amage anugi-ha nivanzanko nom.’” Nongo yaaro nituma newo ˂kinimare ⁺nimuwe ne agaba ha uyane wo inang.
3a04040094	Ne ananke ayaara ˂ukuyane anaza ha uweng wo usunderi sa ˂ukukone, “Ne uweng wo usunderi, hane Ashini ⁺uvanzanko ne unaafase wo nituma newo.”
3a0405004a	Ukuri ⁺ukuna ne aməmo ncazama, “Aza amage anugi-ha nivanzanko nom.”
3a040600de	Ne ayeha sa ˂akamaa, ˂akabiyare anaza aniyamtoha ha nivanzanko neenno, ama haremay sa ˂akabiyare-ha anazaa ˂akadaake ⁺anugi wərike ugbara wo ato. Saanuwa agaba adaa ne wərike haage aciye unugi wo nivanzanko neenno.
3a040700df	Wərike nongo, sa tinay gay ⁺kitimaa, Ashini ukuri ⁺ucay unanke uweng sa ꞊agaase una a Yenəy, hane ⁺uyane Dawda anaza, tantaasa ˂akamare ⁺anasa, “Yenəy, ka ⁺igofe niviyaw newo, kate iyane unyif wo iruwa.”
3a0408005d	Gade Joshuwa ˂ukune-ha nivanzanko, gade Ashini ˂ukudaake udome uyane anaza ha unanke uweng.
3a04090045	Hay ⁺adonke nivanzanko ne aSəbər wərike agana ha Ashini nire ne,
3a040a0090	wərike awaasa ⁺uciye unugi wo nivanzanko ne Ashini, wo maa uta uvanzanko ne nituma newo, tantaasa Ashini ˂ukuvanzanko ne aməmo nituma newo.
3a040b008c	Wərike nongo, sa tiyane tantaasa taticiye unugi wo nivanzanko neenno, wərike kate bigi ukəri-wo unugi wərike udafe wo ugbara wo ato haa.
3a040c00cd	Wərike anaza ha Ashini aciye uray, ꞊ayane nituma. Apere uvira sa ꞊une upang tiriya ugaso, ꞊abəri uray ne bidiri, akpara ha nipum ne mbərige, ꞊akayiyame ndunkinze me apuwa sa are ne aməmo iruwa.
3a040d00af	Azaa ananke apuwa ne aməmo unaafase wo apuwa sa ⁺ayane ana sa anisane ubusa ke Ashini. Unaafase wo kuwede yina adiineni ne nsaa ubusa ke awaasa tatinaze apuwa sa ⁺tiyane.
3a040e0094	Saanuwa ticiye Borewono wo mPiris awaasa ⁺unyaana ashini, Yeso Vana bo Ashini. Wərike nongo, sa tipiti une wo iruwa yooro sa ꞊tinazen ne ugaso.
3a040f00c4	Tizado Borewono wo mPiris awaasa unugofe-wo ugbane wo uzira wo ugaso wooro, ama ticiye awaasa ˂akanaase uwuna woo uyane wo araa, ne kuwede uje uwunda saa haro, nongo yaaro, ˂ukudaake uyane araa.
3a041000a1	Sa tiyane ugaso wo iruwa tiye n-yaa ne ukpənku wo tigbama te apuwa anowa, wərike ticiye ugbane ne apuwa anowa sa ata akande haro agabaa sa titare ananke apuwa.
3a050100c1	꞊Akazangneke kuwede bije borewono wo mpiris ne aməmo agana wərike uyane nituma ne apuwa sa are ha Ashini uməy wo agana, a ꞊uyane uniyaze a uniyaze wo kiwaa ke binama, wərike apuwa araa.
3a05020098	꞊Ukuyiyame udafe riyang ne hare uzira wo uriya wo ananke apuwa, haremay sa ⁺asata uwunda, wərike wo maa niciye newo uciye kitiya sa ⁺ukərəw ne.
3a0503007e	A ana ⁺awuna ꞊ukuyane uniyaze wo kiwaa ke binama wərike apuwa araa hawo, a ukuri uyane nongo wərike apuwa araa ha agana.
3a05040078	Azaa awaasa uta uzangneke niciye newo wərike uciye unyante wee, sa Ashini ⁺ugaaseke-wo, tantaasa ˂ukugaaseke Aruuna.
3a0505009a	Anongo Animasihu ˂ukudaake unyante niciye newo wərike ucuge Borewono wo mPiris. Ama Ashini ˂ukukonen kewo, “Bo a Vana bom, yenəy me a Babba wobo.”
3a0506006a	Ukuri ⁺uyane anaza ne ananke aninka ⁺ukuna, “Bo a upiris shere umuwene, ne ugbaaro wo Menkizedek.”
3a050700de	Ayeha sa Yeso ˂ukure ne aməmo inang, ˂ukuyane nriribina a nwure ne asuwe gay ne nkaaro, niya ke awaasa uta uyiyame a utubse-wo wərike kate ungməni. Ashini ˂ukukpaa nriribina mawo, wərike wo a bore uwuwage wo Ashini.
3a0508006d	Kuwede sa Yeso a Vana bo Ashini, ne aməmo uriyarew sa ˂ukune, ˂ukuyiyame uyane wo apuwa sa atare-wo uyane.
3a05090073	Sa ˂ukungmaska nituma newo, hane ⁺ucuge bore uniyaze wo uray wo uzira wo umuwe ke hare uyane woo apuwa sa utare,
3a050a0048	hane Ashini ⁺uwuna-wo ure Borewono wo mPiris ne ugbaaro wo Menkizedek.
3a050b00a9	Ticiye apuwa gay sa titare tinase ne ashini ha apuwa sa ˂ntimare ⁺tibiyate-ye, ama aciye uriyare wo udonkize, wərike ye ⁺icuge hare uzira wo uyiyama wo apuwa yare.
3a050c00ae	Kuwede sa ne agaba hay, ⁺ayane unoo akone a icuge hare udonkize, ama itare a bigi ukuri uyane-ye udonkize wo anaza ha Ashini ha uciba. A nhamza itare, haza apuniya agasoha.
3a050d006e	Awaasa a nhamza nre apuniya hawo, udaa niceero, utiya-wo ananke apuwa ne ashini ha udonkize wo uyane wo anowa.
3a050e0088	Ama apuniya agasoha, a ha haremay sa ˂anawundareko, haremay sa ne aməmo uyane wo nituma neha, ꞊akayiyame apuwa sa are anowa ne araa.
