3a0000000b	aBiraniyawa
3a0d0a0084	Ticiye aninka ha uniyaze wo Ashini apuwa hay sa hare nituma ne aməmo uTenti ˂akadaake ane-ha ugaso wo uniya wo apuniya ha aninkaa.
3a0d0b00ba	Borewono wo mpiris ꞊ukucuwana mgba me inamay niya aməmo ne Ayaaraa sa Amaane Nsano a uyane uniyaze wərike apuwa araa, ama inamay ꞊akapabe ina nang kinereng ne ayaara ha ucugi woha.
3a0d0c006c	A nongo Yeso womaa ˂ukune uriyare nang ne apiye, wərike uwone agana are hare nsano ne uwunda wo mgba mawo.
3a0d0d0059	Wərike nongo, sa tiya kewo nang ne ayaara ha ucugi, a tireete uniya wo nziri sa ˂ukune.
3a0d0e005f	Wərike ne inang yee tizado apiyeha sa ata a reete, ama ꞊tiwooze ayizi ne apiyeha sa ayiyezi.
3a0d0f0094	Wərike apuwa sa Yeso ⁺uyane sa tine ubusa ne uyane wo uniyaze wo Ashini apuwa sa a ana are urume woo, anaza haaro a ana are urume wo niziya newo.
3a0d10006b	Kate ijese uyane wo apuwa anowa ne ukande wo agana, wərike uniyaze wo Ashini apuwa hay, ꞊ugofe uniyamto.
3a0d1100ef	Dafen harewono woye, a iyane apuwa sa ⁺akuna. A ha ꞊ayane uya woye, a ha ata anaze apuwa sa ⁺ayane. Yanen apuwa sa ⁺akuna, wərike nituma neha nicuge ne amane haza ne ncaanom me iruwa, wərike hayen aza acendeke-ha ye ananke apuwa.
3a0d12008a	Yanen haro nriribina. Tiriya ne kiwenden, ndunkinze me iruwa yooro nsano, tikuri titare tiyang tooro tire nnoo ne aməmo kuwede uje upang.
3a0d130045	Nre ne nwure maye, sa iyane nriribina wərike nciye uvoore keye yare.
3a0d1400b7	Ashini bore uniyaze wo uraara wo iruwa, ˂ukuninkize Mbaa wooro Yeso ke haremay sa ⁺anangməne, bore aviga amənuha ha idunke, ne aməmo mgba me nikəwəri neen ne uzira wo umuwene.
3a0d1500c4	Tire ne nwure udungiriza-ye ne kuwede aje apuwa anowa, wərike uyane wo apuwa sa utare, a uyane wo apuwa sa uta ugofe uniyamto ne uwunda wo Yeso Animasihu, umənu ure woo shere umuwene. Are nongo.
3a0d160055	Aruwanke, nre ne nwure, sa ikpaa uduwamo sa ⁺n-yane-ye, ne aməmo ncaza mbutun may.
3a0d170072	Ntare-ye iyiyame ˂akakatte biruwanke booro Timoti ne aməmo ukura wo tibaa. Ka uye yare, nta n-ye ne wo tinay-ye.
3a0d18007b	Nyankizan unaafase wo harewono woye ne unaafase wo hare udafe. Haremay sa are ne nriyam me iTaaniya ˃agose ˃anyankize-ye.
3a0d190023	Apuwa anowa adafe ne unaafase woye.
3b00000006	Yakubu
3b010100a7	Ame nre Yakubu biriyare bo Ashini ne Mbaa Yeso Animasihu, ⁺n-yane ncaza maye niya ke, ataa nikuri ne nriya hayen sa ⁺agatarezo ne unaafase wo inang, ˃nyankiza-ye.
3b0102004f	Aruwanke ham, kuwede uje uriyare sa ⁺uciye-ye, kuttin una apuwa ha amane gay,
3b01030045	wərike iriya uriyare wo udonkize wo une wo iruwa yee, uwooze ureete.
3b01040071	Wərike nongo, sa ireete une wo iruwa ke Ashini niya umuwene, ita ihaaranko, a ingmaa, iza idere-ye ananke apuwa.
3b01050085	Ka bigi ne aməmo haye ⁺udira uyiyama, sa uyane nriribina ke Ashini sa awo ꞊uniyaze kuwede ana shere utpyabke, Ashini uta une-wo.
3b01060096	Ka uyiyasa, sa une iruwa, kate uciye iruwa tiriya, wərike bore iriwa tiriya, ure saa nwuwamaw me uraawa sa uway ꞊ukutam nna shee, a utam nna shina.
3b0107003c	Bigana been, kate ucay iruwa uta uciye ananke apuwa ke Mbaa,
3b01080058	wo, a bigana bore iruwa iriya, kuwede yina sa ꞊uyane, iruwa yewo izaw ne ayaara nidii.
3b01090059	Hare udafe wo Ashini sa are hare ugbangane, sa ayane amane, wərike Ashini ⁺unyante-ha.
3b010a0090	Haremay sa are hare apuwa ha taare, sa ayane amane wərike Ashini ⁺utuuti-ha daa. Wərike hare apuwa ha taare, ata anaa saa nrərife me ndare.
3b010b00a9	Ka uweng ⁺ukaana ne nware, ꞊ukuwone mptya a ngbyatariko, sa nrərife ma nwaksa daa, sa unoo wo nna ncaano. Anongo hare apuwa ha taare, ata anaa are ne aməmo unaase.
3b010c00d5	Haremay sa ⁺areete une wo iruwa ke Ashini ne aməmo uriyare, ata are hare apuwa anowa, wərike ka areete niya umuwene, Ashini uta une-ha uray wee sa unumuwesize-wo, wee sa Ashini ⁺ukuna uta une hare uyeme woo.
3b010d00c8	Ka apuwa sa ꞊akanaase awone bigana uyane wo araa ⁺aciye bigi, kate ukone Ashini ⁺uwuna-wo ne, wərike Ashini uza unaase-wo uwone bigi uyane wo araa, anongo azaa anaase-ha awone-wo uyane wo araa.
3b010e007d	Bigana ꞊ukunugi ne apuwa sa akanaase awone bigana uyane wo araa, wərike umuwerəy wo iruwa yewo ⁺uriyanga-wo ukiyere-wo.
3b010f0063	Ka umuwerəy ⁺uyane itume, uta uwuri apuwa araa, ka apuwa araa ⁺amənenku, ata aye ne ungməne.
3b01100025	Aruwanke ham, kate ijese ariyange-ye.
3b0111008f	Kuwede uje upase unoo, ake Ashini ⁺udin, awo ⁺uyane uweng ne upiye ne unaafase wo iwere. Wo, ure tantaasa ure, unuhansare-wo saa uwurigine.
3b0112007a	⁺Uyeme ⁺uwure haro, ne uwunda wo kiwenden ke anaza hawo, wərike ticiye unyante wee sa umaane kuwede yina sa ⁺uyane.
3b01130071	Aruwanke ham, yiyaman haye, sa ire hare ugofe wo anaza yare, haza hare uyane wo anaza yare, haza hare ukara yare,
3b0114003c	wərike ukara wo bigana, uza uyane wo anowa sa Ashini utare.
3b011500d0	Wərike nongo, sa ijese ꞊uyane wo ꞊ucugi wo apuwa araaa ha iziri ne hay sa anaziba-ha, sa are kuwede tiya, a irakte aciye haye, ikpaa anaza hawo sa ⁺uvina ne aməmo iruwa yee, sa ata ayane-ye nivuwange.
3b01160079	Wərike nongo, kate icuge hare ꞊ugofe wo anaza ha Ashini cas ire ne ꞊uriyanga wo aciye haye, yanen apuwa sa ꞊agose.
3b0117007f	Awaasa ꞊ugofe anaza ha Ashini cas, amma ꞊unuyane-wo apuwa sa ꞊agose, ure saa awaasa ꞊ukugbənse nyano mawo ne ngəəni,
3b0118004b	ka ⁺umuwene uyatew, sa umaa udore-wo, daabano, sa ushame-wo tantaasa ure.
3b011900db	Ama awaasa ꞊ugbənse anaza ha Ashini ha kiwenden, hay sa a ana ꞊aniyaze nivuwange, ⁺ureete uyane wo apuwa sa ⁺akuna, udaake ushama-wo ne apuwa sa ugofe, ata ayane-wo apuwa anowa ne unaafase wo apuwa sa ꞊uyane.
3b011a00a1	Awaasa ꞊ucuwana niciye newo wo a bore ꞊udafe wo Ashini nnoo, ama uza uyiyame-wo upiti wo unuwe woo, a niciye newo ꞊uriyange, udafe wo Ashini hawo a mbenne.
3b011b0108	Udafe wo Ashini wee sa Ashini Babba wooro ꞊ukukpaa wo nsano ne uzira wo araa, a wee sa ꞊akande awoone haremay sa are ne uriyare, ne ahay sa anome haa angməne sa are ne aməmo uriyare, a bigana ukatte niciye newo ne uyane wo apuwa ha inang sa ata acaane-wo ne.
3b0201005f	Aruwanke ham, hare une wo iruwa ke Yeso Animasihu bore upere, kate idonkeze a bigi umaane bigi.
3b0202009c	Akone a bigi sa ⁺uwuna bicita bo azinariya ne mpoppuwa nnooma, ⁺uye ne aməmo usonde wo-ye, bigi bore ugbangane sa uwoone mpoppuwa nraama, womaa ⁺uye.
3b0203009f	Ka idonke uyeme wo bore mpoppuwa nnoomma, ine-wo aninke ha ucugi anowa, hane ⁺ikunanke bore ugbanganew, “tunna bano,” baa “cuge daa baaze ubusa kom,”
3b02040092	ne uyate wo-ye, idaake ⁺idonke a bigi upere bigi ne aməmo haye, sa ⁺ihara agana ne aməmo ndunkinze me apuwa araa sa are ne aməmo iruwa yee?
3b020500c2	Aruwanke ham, rengken ato a igofe, haza Ashini uzangneke hare ugbangane ne inang, are hare apuwa ha taare ne aməmo une wo iruwa, a aciye tigbama tee sa ⁺ayane haremay sa ayeme-wo, nikəwəri?
3b0206006e	Ama ⁺iyasa hare ugbangane. Haza a hare apuwa ha taare ꞊akangance-ye? Haza aha ꞊akəri-ye niya ne ugaamo?
3b02070057	Haza a ha ꞊anaze apuwa araa ne ashini ha niziya ninoono ne Animasihu, sa ariya-ye ne?
3b0208007b	Ka ꞊idafe uduwaka umənu wo anaza ha Ashini sa ꞊agose, “Yeme biruwanke bobo saa niciye nebo,” ꞊iyane apuwa anowa.
3b02090062	Ama ka ꞊idonkeze a bigi upere bigi ꞊iyane araa, ⁺ipura uduwaka, adonke uduwaka ukpate-ye ne.
3b020a0088	Awaasa ꞊udafe unaafase wo apuwa sa uduwaka ꞊ugose, ama ukəre-wo udafe wo apuwa adii ne aməmo, ⁺adonke upura unaafase wo uduwaka.
3b020b00d8	Ashini sa ⁺ukuna, “Kate bomare ne buray baa bonome bo bigi,” awo ukuri ⁺ukuna, “Kate boyane nwono.” Ka bodaake ⁺bomara ne buray, baa bonome bo bigi, ama ⁺boyane nwono, ⁺bocuge bore upusa wo uduwaka.
3b020c008c	Sa anaza haye ne apuwa sa ꞊iyane are saa aganaa sa ariya a ata ayane-ha nhara me anowa ne araa ne aməmo uduwaka wee sa uniyaze nivuwange.
3b020d008b	Wərike kuwede ana sa unugofe-wo ugbane wo haage, ata awone-wo araa, shere ugofe wo ugbane. Ama ugofe wo ugbane, umaane uwuna wo bigi araa.
3b020e0095	Aruwanke ham, ayina are unoo wo ana ka bigana ꞊ugose a uciye une wo iruwa, ama uniyane-wo nituma ne une wo iruway? Une wo iruwa yewo uta utobse-wo?
3b020f003e	Akone a biruwanke binome baa buray uza-wo mpoppuwa ne apuniya.
3b021000c3	Ka bigi ne aməmo haye ukunan ke-wo, “Duura ne aməmo nsano me iruwa, Ashini une-bo mpoppuwa ne apuniya,” ama udaake ⁺uyane ananke apuwa wərike ukande wo nipum newo, ayina are unoo wo ana?
3b02110039	Anongo, une wo iruwa cas, shere uyane wo nituma a mbenne.
3b021200db	Ama bigi uta ukone, “Bo bociye une wo iruwa, me ꞊n-yane nituma.” Nta nkone, ataana ta boyiyame a bodonke-m une wo iruwa yebo shere uyane wo nituma? Me nta ndonke-bo une wo iruwa-yom, ne aməmo uyane wo nituma nom.
3b0213006d	꞊Boniyaze iruwa Ashini a nidii, ayane unoo! Agbyarigare hamaa ⁺ane iruwa, ama ꞊akacere wərike uwuwage.
3b0214005d	Bo bore tirariga, sa akate adonke-bo a une wo iruwa shere uyane wo nituma a nituma ne mbenne?
3b02150082	˂Akadaake akutti caara booro Ibirahem bore uyane wo anowa, wərike ˂ukune vana bewo Ishaku ne aninka ha uniyaze wo Ashini apuwa?
3b02160080	Inay une wo iruwa yewo ne apuwa sa ˂ukuyane, ˂akadaake ⁺ahazano tiriya, une wo iruwa yewo ingmaa wərike apuwa sa ˂ukuyane.
3b0217009d	⁺Angmaska anaza ha Ashini sa ꞊agose, “Ibirahem ˂ukune iruwa ke Ashini, hane ⁺akutti-wo a bore uyane wo anowa,” hane ꞊agaase-wo a suga wo Ashini.
3b0218006a	Inay ꞊akakutti bigana a bore uyane wo anowa, wərike apuwa sa ꞊uyane, haza a wərike une wo iruwa cas.
3b021900b7	Akadaake akutti Rahab bore ticinaake, a bore uyane wo anowa, wərike apuwa sa ˂ukuyane hare urənge wo apiye, sa ˂ukune-ha aninka ha nimare, hane ⁺ukatte-ha ne unanke uwunda muwa?
3b021a0063	Yantaasa nipum a ningməninenu, ka niza-wo bidiri, anongo une wo iruwa shere nituma, a ungməninew.
3b030100ad	Aruwanke ham, kate agana gay ne aməmo haye are hare udonkize, wərike iriya haro sa tire hare udonkize, Ashini uta uyane haro nhara me anowa ne araa gay sa mmaane me agana.
3b030200d0	Unaafase wooro ꞊tiyane apuwa sa azaa didəy ne tiwunda muwa muwa. Awaasa ⁺uyiyama udafe ne niniyam newo ne aməmo apuwa sa ꞊unaze, wo a bore uzira wo araa sa uta uyiyame udafe ne unaafase wo nipum newo.
3b03030068	Ka tiwuna niwiya ne inime ye bara, wərike tidafe ne wo, tatiyiyame tihansare unaafase wo ne nipum newo.
3b030400a9	Gbənken saa njirigi me nwuwamaw, ne unaate wo nna, uway ugasoo ꞊ukuhansare nna, nongo yaaro, a ne kizume kicimka bore ukərew ꞊ukuhansare una niya tiya sa utare ne.
3b0305009a	A nongo niniyam nire, naa ninay cim, ama ꞊nibuwerinze ne anaza amənsuha. Gbənken ucimi wo nicenke ne nishiyana, una wo nina ꞊ukupabe ndare nmənuma.
3b030600fb	Niniyam duki a saa una nire, ane aməmo nina, ꞊acesize kuwede aje apuwa araa ne, ne aməmo unaafase wo akpara ha nipum, anina ꞊nicaane unaafase wo bigana ne, ꞊niwooze unaafase wo ucugi wo bigana ne aməmo una, nina, a ukura wo una ꞊unose nina.
3b0307006e	Bigana ˂ukuyiyame udafe ne unaafase wo inama ye ndare, ne anii, ne yee sa ꞊ikəri nipum daa, a ye nwuwamaw,
3b0308006e	ama azaa awaasa uta uyiyame udafe ne niniyam. Niniyam a apuwa araa sa nnivankanze-wo, ningmaa ne udəfi uraaw.
3b03090067	A nina ꞊tirumi Mbaa Babba wooro ne, a ꞊tiware agana unuwe ne, haremay sa Ashini ⁺uyane-ha saa wo.
3b030a0061	Ane unuwe udiin-wo ꞊arumi Ashini a ꞊ayane tizuwaga ne. Aruwanke ham, nongo adaake ayane unoo.
3b030b004a	Uwuwe wo nwuwamaw uta uyiyame ukatte nwuwamaw nniyamtoma ne may sa nkaraa?
3b030c00c6	Aruwanke ham, uti wo ugba, uta uyiyame a uwuri ayiyane ha uzaitun? Baa uti wo inəbi uta uyiyame a uwuri ayiyane ha uti wo ugba? Anongo, uwuwe wo nwuwamaw nkarama, uza ukatte-wo nwuwamaw nniyamtoma.
3b030d008a	Ne aməmo haye a ana uciye uyiyama ne uriya? Sa udonke ne aməmo ucugi woo unoo sa uyane ne aməmo uratte wo niciye, sa uyiyama ꞊uwooze.
3b030e0061	Ama ka iruwa yee, ingmaa ne niyaro gay, a uyeme wo iruwa, kate itame bikpaga, a igaa-ye kiwenden.
3b030f0062	Uyiyama ween haza ashini udin, ama a wo inang yee, ne uyeme wo aciye, a wo bigbama bo agbyarigare.
3b0310005b	Kitiyasa niyaro a uyeme wo iruwa ure ne, bano ꞊acesize tikara, ne unaafase wo apuwa araa.
3b031100c8	Ama uyiyama wee sa ⁺udi ashini, usano. Uniyaze ucugi wo uniyamto ne aciye, ne uratte wo niciye, a uyane wo apuwa sa atare, ne ugofe wo ugbane gay, a uyane wo anowa, unuyane-wo nzawa, uyane kiwenden.
3b03120073	Hare ꞊uwuuza wo agana ayane ucugi wo uniyamto ne aciye, a saa igbaaro ꞊avene, yee sa iyiyezi ne uyane wo anowa.
3b0401006f	Ayina ayiyezi ne tiduba a tikara ne aməmo haye? Haza a wərike umuwerəy wo-ye sa ure ne ngmassa ne iruwa yee?
3b040200bd	Itare ananke apuwa, idaake iciye. ꞊Iwekse haage wərike itare apuwa haa, idaake iciye apuwa sa itare. ꞊Iyane tikara ne tiduba, idaake iciye apuwa sa itare wərike idaake iyiyasa Ashini.
3b04030081	Ka iyiyasa, ꞊inicisize-ye wərike ꞊iyasize ne iruwa iraay. Itare inaate apuwa sa ⁺iciye ne ugofe wo uniyamto wo aciye haye.
3b04040098	Ye hare uzira wo kiwenden, itiya-ye nisuga ne inang a ugaa wo Ashini? Awaasa ⁺uzangneke uyane wo nisuga ne inang yee wo a bore ugaa wo unay wo Ashini.
3b0405008a	Baa ꞊iyate a mbenne apuwa sa ncaza me anaza ha Ashini ꞊ngose, Bidiri bee sa Ashini ⁺uwuna ne aməmo iruwa yooro utare ucuge ne haro?
3b040600c3	Ama Ashini awo ꞊uniyaze haro apuwa anowa gay. A ana ⁺awuna ncaza me anaza ha Ashini ꞊ngose: “Ashini ꞊ugaaza-wo bore unyante wo niciye ama ꞊uyanze bore uratte wo niciye apuwa anowa.”
3b04070049	Nen aciye haye ke Ashini, a igaa-ye bigbama bo agbyarigare, uta ucome-ye.
3b04080082	Yen n-yaa ke Ashini, wo uta uye n-yaa keye. Rundan tiyante-ye, ye hare uyane wo apuwa araa. Ptyizen iruwa yee ye hare iruwa iriya.
3b0409006e	Yanen ncaanom me iruwa, shiyen, tuutizin n-yizi. Tizuwa tee tivoore asuwe, amane haye avoore ncaanom me iruwa.
3b040a003a	Ratten aciye haye ubusa ke Mbaa, wo uta unyante-ye ashini.
3b040b0134	Aruwanke ham, kate ine inama ye aruwanke haye. Awaasa ⁺uyane anaza araa ne ashini ha biruwanke bewo, baa ⁺uwooze-wo araa, adonke ꞊unaze uduwaka araa, a uyane una nhara me anowa ne araa. Awaasa ꞊uyane uduwaka nhara me anowa ne araa, unudafe-wo uduwakaw, ama ucuwana niciye newo upere ugaso wo uduwaka.
3b040c009a	A Ashini cas ure bore ꞊uniyaze wo uduwaka ne bore nhara me anowa ne araa, awo ⁺uhama utubse a uwe. Ama a bo bore ana, sa tabowone biruwanke bobo araa?
3b040d007e	Gofen, ye haremay sa ꞊igose, “Yenəy baa nikate, tatiya ne ananke apiye, tatikoze niyaw, tiyane nzeno a ticiye ikurife.”
3b040e007f	Itiya-ye apuwa sa ata aye nikate. Ayina are uray wee? A saa umiya ure, tabonay una saanuwaw, ka boməru sa bonaase una boderen.
3b040f004b	Uməy wo ikone, “Ka Mbaa ukpaa, uyante haro ne, tatiyane hay ne hanaa.”
3b0410005c	Ama ire ne ꞊ubuwərinze ne ꞊unyanteze wo aciye haye. Unaafase wo apuwa hayen apuwa araa.
3b04110054	Awaasa uriya apuwa anowa sa azibi uyane, hane udaake uyane ana, ⁺uyane apuwa araa.
3b05010071	Hare apuwa ha taare, renken ato a igofe, yanen asuwe ne nkaaro wərike apuwa ha ncaanom me iruwa sa ata aciye-ye.
3b05020046	Apuwa ha taare teye sa iciye, ⁺acaano, biine ⁺uniya mpoppuwa maye.
3b050300b7	Azinariya ne azurufa haye ⁺akafa nwura gay. Nwurama, a nna nta n-yane anaza ne ashini haye, nta mpabe apum haye saa una. ⁺Isunda aciye haye apuwa ha taare ne aməmo aye ha umanne.
3b050400ec	Ikurife ye haremay sa ꞊ayane nituma ne tiruge teye sa igaa-ye une woha, ire ne asuwe ne ashini haye. Asuwe ha haremay sa ꞊ayane-ye nituma ne usunda wo nigbaaro ne tiruge teye, ahama ne ato ha Mbaa Bigbama bo hare ntaa sa are ashini.
3b05050072	⁺Iyane ucugi wo ugofe wo uniyamto ne amane ne inang yee. Tikuweneto sa ⁺iyane, ire saa binaa bee sa uya kiwaa.
3b0506004b	⁺Iwuna hare uzira wo araa sa adaake ⁺agaa-ye, apuwa araa, ⁺iwekse-ha.
3b050700ba	Aruwanke ham, sa irakte iruwa yee, niya agaba ha niziya ne Mbaa. Gbənken tantaasa bore avara ꞊ukuya niye ne beera bo bikpagba ne beera bo nikaane ne usanima, sa idaa ita ine nigbaaro.
3b05080067	Yemaa sa irakte iruwa yee, tantaasa hare avara ꞊ayane, yanen ugaso wo iruwa, Mbaa unuye n-yaa niziya.
3b05090090	Aruwanke ham, kate iyane nwuməru ne ntitay ma-ye wərike kate awone-ye araa. Gbənken a inay, bore nhara me anowa ne araa ˃utore ne anənkəy!
3b050a0090	Aruwanke ham, wərike iyiyame ureet ne aməmo uriyare, sa igbənke hare niyiyezi ne anaza ha Ashini sa ˂akayane anaza ne aməmo niziya ne Mbaa.
3b050b00bf	꞊Tirumi haremay sa ˂akareete ne aməmo uriyare. Ita ibatiriza ureete wo Ayoba, ˃inay tantaasa ne umanne Mbaa ˂ukuyane-wo anowa. Mbaa ungmaa ne iruwa ye uyane wo anowa ne ugofe wo ugbane.
3b050c00ed	Aruwanke ham, apuwa sa apere kuwede yina anay, kate bigi utuna ne ananke apuwa sa are ashini ne ndaa baa ananke apuwa muwa. Tunnan ne anaza adii, ka anongo sa ikone anongo, ka haza anongo sa ikone haza anongo, wərike kate awone-ye araa.
3b050d007d	Baa bigi ne aməmo haye ure ne uniya wo uriyare? Sa uyane nriribina. Baa bigi ure ne amane? Sa uyane tiwune te urume wo Mbaa.
3b050e0094	Baa bigi ne aməmo haye ukpana? Sa ⁺ugaaseke harewono wo ukura wo hare udafe, aye ayane-wo nriribina, a asharige-wo mmay ne aməmo niziya ne Mbaa.
3b050f0088	Nriribinama sa ⁺ayane nna ne aməmo une wo iruwa, nta nwumza bore nkpane, Mbaa uta uninkizə-wo. Ka ⁺uyane araa, ata aviyase-wo ana.
3b051000b6	Wərike nongo nyaana ꞊biyaren aciye haye apuwa araa sa ꞊iyane a iyane aciye haye nriribina wərike iwuma. Nriribina me bore uzira wo araa nciye ugaso wo uyane wo nituma nimənnu.
3b0511007d	Iniya a bigana saa haro, sa ˂ukuyane nriribina gay, a kate aruwa beera, ˂akayane tinay tetaaro ne tipiye utase shere beera.
3b05120051	Sa ˂ukukuri ⁺uyane nriribina, nshini ⁺nne beera, idaa ikuri ⁺ine nigbaaro.
3b0513005d	Aruwanke ham, ka bigi ne aməmo haye, ujese uwunda wo kiwenden, sa bigi uziya newo ne uwunda.
3b05140091	Sa iyiyame, awaasa uvoore ne bore uyane wo apuwa araa ne uwunda, utubsa-wo ne aməmo ungməne, hayen ata are uwunda wo uviyasa wo apuwa araa gay.
3c00000009	1 Biturus
3c010100bf	Ame Biturus bituma bo Yeso Animasihu, ⁺n-yane ncaza maye niya ke agana ha Ashini sa ⁺uzangneke, acugi muwa-muwa saa ajan ne nriyam me uPontos, uGanatiya, uKapadukiya, uAsiya ne uBitaniya.
3c010200e8	Ashini Babba ne aməmo uriya woo, ˂ukuzangneke-ye ne uwunda wo Bidiri bo Ashini, ⁺ucay-ye muwa ne nsano wərike iyane apuwa sa Yeso Animasihu utare, sa ⁺uptyize-ye ne ngba mawo. Ashini une-ye apuwa anowa ne uraara wo iruwa gay.
3c010300eb	Sa tirumi Ashini, awo ure Babba wo Mbaa wooro Yeso Animasihu, ne aməmo ugbane woo gay, akure ⁺awure haro ne aməmo nininki ne Yeso Animasihu ne aməmo haremay sa ⁺angməne. Hayen, ⁺awuna ⁺ticiye uwuna wo iruwa sa uza umuwenew,
3c01040075	tatikpaa unaafase wo apuwa anowa sa Ashini ˃uciyane-ye ashini sa azaa angmyisiha, azaa acaano-ha, azaa akoonenka-ha.
3c010500b4	Ashini ne aməmo ugaso woo, ure ne ꞊ukənge wee, wərike une wo iruwa yee, niya uweng wo utubsa sa ⁺udunguruza sa ata amiyate una ne agaba ha umuwene, uwengo sa Yeso uta uziya.
3c0106006c	Wərike nongo, sa iyane amane gay, nongo yaaro, uriyare muwa-muwa wee sa ire ne uniyaw saanuwa, awo aye cim.
3c010700f7	Apuwa hay ⁺aciye-ye, wərike anay kiwenden ke une wo iruwa yee, tantaasa ꞊akawone azinariya ne una wərike akante unoo wo ana, ne ukuna yaaro ꞊akacaano, ka ayane nongo, ita iciye urume, umənu a unyante uweng wee sa Yeso Animasihu uta uziya.
3c010800b4	Kuwede sa idaake inimaga unay wo Yeso Animasihu, ama ire ne uyeme woo. Ne ukuna iniyate-ye wo saanuwa, nongo yaaro ⁺ine iruwa yee kewo, ire ne amane gay sa amaane ugaso wo unasa.
3c0109003e	Ire ne uciye wo utubsa wo uray woye, wərike une wo iruwa yee.
3c010a00ae	Ne aye gay sa ⁺akamaa, hare niyiyezi ne anaza ha Ashini ˂akayane anaza hay, ˂akamare ⁺akuna, Ashini uta uyane-ye apuwa anowa, ⁺anaase gay ayiyame anaza ha utubsa wee.
3c010b00d3	⁺Anaase ayiyame agabaa sa ata ayane apuwa hay, ne tantaasa ata ayane, hane Bidiri bo Animasihu sa ure ne anaza ne aməmo keha, ⁺udonke-ha tantaasa Animasihu uta une uriyare, ne umənu woo sa uta udafe utine.
3c010c0125	Ashini ˂ukubiyate-ha haza a wərike aciye haa ⁺ukune-ha anaza hawo, ama a wərike ye. Saanuwa agana hay sa ⁺akabiyare-ye Anaza Aniyamtoha wərike Bidiri Bisanobo sa ⁺udi ashini sa Ashini ⁺utonte, ꞊uniyaze-ha ugaso. Apuwa haye, a ana atuma ha Ashini sa are ashini, ⁺anaase ayiyame.
3c010d0086	Wərike nongo, sa ironde iruwa yee, icuge nnoo, ˃ire ne uwuna wo iruwa ne apuwa anowa sa ata ane-ye uwengo sa Yeso Animasihu uta uye.
3c010e0089	Saanuwa sa icuge ayiyane hare ugofe wo anaza, kate isobe apuwa sa ˂ikiyeme uyanew acuwana iruwa yee, agabaa sa ˂ikire ne ucugi wo nrii.
3c010f0071	Ama Ashini sa ⁺ugaaseke-ye, wo a bore nsano, anongo yemaa, sa ire hare nsano, ne unaafase wo apuwa sa ꞊iyane,
3c01100046	Tantaasa ˂akacaze, “Sa ire hare nsano, wərike me, a bore nsano.”
3c01110130	Ka ire ne nriribina, ꞊ikigaase Ashini a Babba, awo ꞊uyane agana nhara me anowa ne araa, ꞊unudonkeze-wo a utare bigi umaane bigi ka ure ne uyane wo agana nhara me anowa ne araa, ne unaafase wo apuwa sa bigana ⁺uyane. Wərike nongo, sa iyane ucugi wo inang yee saa ajan ne aməmo uwuwage wo Ashini.
3c01120092	Iriya apuwa sa ˂akane wərike akatte-ye ne aməmo ucugi uraaw sa ˂ikikpaa ke ncaaran maye, haza apuwa sa ꞊akacaano saa azinariya ne a azurufa.
3c0113007c	Ama ⁺ujana-ye ne ngba me Animasihu sa nmaane kuwede yina, ure saa dunke bee sa uza-wo nnanke nkpane, ne ananke apuwa araa.
3c01140071	Awo Ashini ukuzangneke-wo, sa ˂akadaa akate atunki inang yee, a wərike ye ⁺adonke-ye wo ne aye hay ha umanne.
3c011500a7	A wərike wo ⁺iciye une wo iruwa ke Ashini sa awo ⁺uninkize-wo ne aməmo isaw ⁺une-wo umənu, saanuwa une wo iruwa yee, ne uwuna wo iruwa yee, ake Ashini ire ne.
3c011600ca	Saanuwa sa ⁺iniptyize iruwa yee, wərike ⁺iyane kiwenden ke apuwa sa Anaza Aniyamtoha ⁺akuna, a ana ⁺awuna ire ne uyeme wo aruwanke ne iruwa nidii, sa ine ubusa ne uyane wo nongo ne iruwa nidii.
3c011700ca	Wərike nongo, ⁺Awure-ye bo uriya, haza a ne igbaaro yee sa ꞊ikingmyisi, ama a ne igbaaro yee sa iza ingmyisi-wo, wərike ⁺awure-ye ne uwunda wo anaza ha Ashini sa aciye uray weesa uza umuwene-wo.
3c01180099	Tantaasa ˂akacaze, ⁺akuna “Agana, a saa mptya are, unaafase wo umənu woha a saa nrarife me ndare, mptya ꞊nkigbyatariko, nrərife ꞊nkiwaksa daa,
3c0119005d	ama anaza ha Mbaa are shere umuwene.” Hay a ana are Anaza Aniyamtoha sa ˂akabiyate-ye ana.
3c0201009b	Wərike nongo, sa ijese ugaa wo unay ne aməmo iruwa, ne kiriyanga, a uyane wo ananke apuwa wərike uyate wo ayizi, niyaro, a kuwəde aje anaza ha ncaanom.
3c0202008c	Saa aceero, awure asawa ꞊atare nhamza nnooma, ye maa sa iyeme anaza ha Ashini, a ana ata awone-ye ihaaranko ne aməmo utubsa wee sa iciye.
3c02030023	Saanuwa sa ⁺iyiyama a Mbaa uzibi.
3c0204005f	Sa iye kewo, utaane wo uray, awaasa agana ⁺agaa-ha, ama Ashini ⁺uzangneke-wo ⁺unyante-wo.
3c020500c0	Yemaa a saa ataane ha uray, ꞊ayane atiya ha ukura wo bidiri ne ye, wərike ire usonde wo mpiris hare nsano, ꞊iyane uniyaze ne aməmo bidiri, wee sa Ashini uta ukpaa wərike Yeso Animasihu.
