28020f015f	ⲛⲉϥϣⲟⲟⲡ ⲇⲉ ϩⲙⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ϣⲁⲛⲧⲉϩⲏⲣⲱⲇⲏⲥ ⲙⲟⲩ. ϫⲉⲕⲁⲥ ⲉϥⲉϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓⲡⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ ϫⲟⲟϥ ϩⲓⲧⲙⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ. ϫⲉ ⲁⲓⲙⲟⲩⲧⲉ ⲉⲡⲁϣⲏⲣⲉ ⲉⲃⲟⲗ ϩⲛⲕⲏⲙⲉ.
280210020d	ⲧⲟⲧⲉ ϩⲏⲣⲱⲇⲏⲥ ⲛⲧⲉⲣⲉϥⲛⲁⲩ ϫⲉ ⲁⲩⲥⲱⲃⲉ ⲙⲙⲟϥ ⲉⲃⲟⲗ ϩⲓⲧⲛⲙⲙⲁⲅⲟⲥ ⲁϥϭⲱⲛⲧ ⲉⲙⲁⲧⲉ ⲁϥϫⲟⲟⲩ ⲁϥⲙⲟⲩⲟⲩⲧ ⲛϣⲏⲣⲉ ϣⲏⲙ ⲛⲓⲙ ⲉⲧϩⲛⲃⲏⲑⲗⲉⲉⲙ ⲙⲛⲛⲉⲧϣⲟⲟⲡ ϩⲛⲛⲉⲥⲧⲟϣ ⲧⲏⲣⲟⲩ ϫⲓⲛⲣⲙⲡⲉ ⲥⲛⲧⲉ ⲉⲡⲉⲥⲏⲧ. ⲕⲁⲧⲁⲡⲉⲩⲟⲉⲓϣ ⲛⲧⲁⲩϩⲉⲧϩⲱⲧϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲙⲙⲁⲅⲟⲥ.
28021100a8	ⲧⲟⲧⲉ ⲁϥϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓⲡⲉⲛⲧⲁⲩϫⲟⲟϥ ϩⲓⲧⲛⲓⲉⲣⲏⲙⲓⲁⲥ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ.
2802120128	ϫⲉ ⲟⲩⲥⲙⲏ ⲁⲩⲥⲱⲧⲙ ⲉⲣⲟⲥ ϩⲛϩⲣⲁⲙⲙⲁ. ⲟⲩⲣⲓⲙⲉ ⲙⲛⲟⲩⲧⲟⲉⲓⲧ ⲉⲛⲁϣⲱϥ. ϩⲣⲁⲭⲏⲗ ⲉⲥⲣⲓⲙⲉ ⲉⲛⲉⲥϣⲏⲣⲉ ⲁⲩⲱ ⲙⲡⲉⲥⲟⲩⲱϣ ⲉⲥⲗⲥⲱⲗⲥ ϫⲉ ⲛⲛⲟⲩⲥ ⲁⲛ ⲛⲉ.
28021300d8	ⲛⲧⲉⲣⲉϥⲙⲟⲩ ⲇⲉ ⲛϭⲓϩⲏⲣⲱⲇⲏⲥ. ⲉⲓⲥⲡⲁⲅⲅⲉⲗⲟⲥ ⲙⲡϫⲟⲉⲓⲥ ⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ϩⲛⲟⲩⲣⲁⲥⲟⲩ ⲉⲓⲱⲥⲏⲫ ϩⲛⲕⲏⲙⲉ.
280214011e	ⲉϥϫⲱ ⲙⲙⲟⲥ. ϫⲉ ⲧⲱⲟⲩⲛ ⲛⲅϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛⲧⲉϥⲙⲁⲁⲩ ⲛⲅⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲙⲡⲓⲏⲗ. ⲁⲩⲙⲟⲩ ⲅⲁⲣ ⲛϭⲓⲛⲉⲧϣⲓⲛⲉ ⲛⲥⲁⲧⲉⲯⲩⲭⲏ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ.
28021500ac	ⲛⲧⲟϥ ⲇⲉ ⲁϥⲧⲱⲟⲩⲛ ⲁϥϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛⲧⲉϥⲙⲁⲁⲩ ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲙⲡⲓ̅ⲏ̅ⲗ̅.
280216019f	ⲁϥⲥⲱⲧⲙ ⲇⲉ ϫⲉ ⲁⲣⲭⲏⲗⲁⲟⲥ ⲡⲉⲧⲟ ⲛⲣⲣⲟ ⲉϫⲛϯⲟⲩⲇⲁⲓⲁ ⲉⲡⲙⲁ ⲛϩⲏⲣⲱⲇⲏⲥ ⲡⲉϥⲉⲓⲱⲧ ⲁϥⲣϩⲟⲧⲉ ⲉⲃⲱⲕ ⲉⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ. ⲁⲩⲧⲟⲩⲛⲉⲓⲁⲧϥ ⲇⲉ ⲉⲃⲟⲗ ϩⲛⲟⲩⲣⲁⲥⲟⲩ ⲁϥⲁⲛⲁⲭⲱⲣⲉⲓ ⲉϩⲣⲁⲓ ⲉⲙⲙⲟⲟϣⲧⲉ ⲛⲧⲅⲁⲗⲓⲗⲁⲓⲁ.
280217014c	ⲁϥⲉⲓ ⲁϥⲟⲩⲱϩ ϩⲛⲟⲩⲡⲟⲗⲓⲥ ⲛϣⲁⲩⲙⲟⲩⲧⲉ ⲉⲣⲟⲥ ϫⲉ ⲛⲁⲍⲁⲣⲉⲑ. ϫⲉⲕⲁⲥ ⲉϥⲉϫⲱⲕ ⲉⲃⲟⲗ ⲛϭⲓⲡⲉⲛⲧⲁⲩϫⲟⲟϥ ϩⲓⲧⲙⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲉ ⲥⲉⲛⲁⲙⲟⲩⲧⲉ ⲉⲣⲟϥ ϫⲉ ⲡⲛⲁⲍⲱⲣⲁⲓⲟⲥ.
28030100db	ϩⲣⲁⲓ ⲇⲉ ϩⲛⲛⲉϩⲟⲟⲩ ⲉⲧⲙⲙⲁⲩ ⲁϥⲉⲓ ⲛϭⲓⲓⲱϩⲁⲛⲛⲏⲥ ⲡⲃⲁⲡⲧⲓⲥⲧⲏⲥ ⲉϥⲧⲁϣⲉⲟⲉⲓϣ ϩⲣⲁⲓ ϩⲙⲡϫⲁⲓⲉ ⲛϯⲟⲩⲇⲁⲓⲁ
280302008f	ⲉϥϫⲱ ⲙⲙⲟⲥ. ϫⲉ ⲙⲉⲧⲁⲛⲟⲓ. ⲁⲥϩⲱⲛ ⲅⲁⲣ ⲉϩⲟⲩⲛ ⲛϭⲓⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ.
