120a100059	If I lift it up, like a lion thou huntest me, And again showest thyself terrible unto me.
120a110077	Thou renewest thy witnesses against me, And increasest thine anger toward me; New hosts continually rise up against me.
120a120061	Why then didst thou bring me forth from the womb? I should have perished, and no eye had seen me;
120a13005a	I should be as though I had not been; I should have been borne from the womb to the grave.
120a14005a	Are not my days few? O spare then, And let me alone, that I may be at ease a little while,
120a150053	Before I go— whence I shall not return—To the land of darkness and death-shade,
120a16006e	The land of darkness like the blackness of death-shade, Where is no order, and where the light is as darkness.
120b01002e	Then answered Zophar the Naamathite, and said:
120b020058	Shall not the multitude of words receive an answer? Shall the man of words be justified?
120b03005b	Shall thy boastings make men hold their peace? Shalt thou mock, and none put thee to shame?
120b040042	Thou sayest, My speech is pure; I am clean in thine eyes, [O God!]
120b05003b	But O that God would speak, And open his lips against thee;
120b0600a2	That he would show thee the secrets of his wisdom, —His wisdom, which is unsearchable! Then shouldst thou know that God forgiveth thee many of thine iniquities.
120b07005d	Canst thou search out the deep things of God? Canst thou find out the Almighty to perfection?
120b080050	'Tis high as heaven, what canst thou do? Deeper than hell, what canst thou know?
120b090047	The measure thereof is longer than the earth, And broader than the sea.
120b0a0044	If he apprehend, and bind, and bring to trial, Who shall oppose him?
120b0b004f	For he knoweth the unrighteous; He seeth iniquity, when they do not observe it.
120b0c004a	But vain man is without understanding; Yea, man is born a wild ass's colt.
120b0d0040	If thou direct thy heart, And stretch out thy hands, toward him;
120b0e005c	If thou put away iniquity from thy hand, And let not wickedness dwell in thy habitation, —
120b0f005e	Then shalt thou lift up thy face without spot; Yea, thou shalt be steadfast, and have no fear.
120b100051	For thou shalt forget thy misery, Or remember it as waters that have passed away.
120b110066	Thy life shall be brighter than the noon-day; Now thou art in darkness, thou shalt then be as morning.
120b120067	Thou shalt be secure, because there is hope; Now thou art disappointed, thou shalt then rest in safety.
120b130059	Thou shalt lie down, and none shall make thee afraid; And many shall make suit unto thee.
120b140078	But the eyes of the wicked shall be wearied out; They shall find no refuge; Their hope is—the breathing forth of life.
120c01001b	Then Job answered and said:
120c02003f	No doubt ye are the whole people! And wisdom will die with you!
120c03006d	But I have understanding as well as you; I am not inferior to you: Yea, who knoweth not such things as these?
120c04008d	I am become a laughing-stock to my friend, —I who call upon God, that he would answer me! The innocent and upright man is held in derision.
120c050068	To calamity belongeth contempt in the mind of one at ease; It is ready for them that slip with the feet.
120c06006f	The tents of robbers are in prosperity, And they who provoke God are secure, Who carry their God in their hand.
120c070063	For ask now the beasts, and they will teach thee; Or the fowls of the air, and they will tell thee;
120c080063	Or speak to the earth, and it will instruct thee; And the fishes of the sea will declare unto thee.
120c09004e	Who among all these doth not know That the hand of Jehovah doeth these things?
120c0a004f	In whose hand is the soul of every living thing, And the breath of all mankind.
120c0b0038	Doth not the ear prove words, As the mouth tasteth meat?
120c0c0042	With the aged is wisdom, And with length of days is understanding.
120c0d0045	With Him are wisdom and strength; With Him counsel and understanding.
120c0e0062	Lo! he pulleth down, and it shall not be rebuilt; He bindeth a man, and he shall not be set loose.
120c0f006a	Lo! he withholdeth the waters, and they are dried up; He sendeth them forth, and they lay waste the earth.
120c100048	With him are strength and wisdom; The deceived and the deceiver are his.
120c110040	He leadeth counsellors away captive, And judges he maketh fools.
120c120047	He looseth the authority of kings, And bindeth their loins with a cord.
120c13003d	He leadeth priests away captive, And overthroweth the mighty.
120c14004d	He removeth speech from the trusty, And taketh away judgment from the elders.
120c150047	He poureth contempt upon princes, And looseth the girdle of the mighty.
120c160054	He revealeth deep things out of darkness, And bringeth the shadow of death to light.
120c170059	He exalteth nations, and destroyeth them; He enlargeth nations, and leadeth them captive.
120c18007c	He taketh away the understanding of the great men of the land, And causeth them to wander in a wilderness, where is no path;
120c190050	They grope in the dark without light; He maketh them stagger like a drunken man.
120d010047	Lo! all this mine eye hath seen; Mine ear hath heard and understood it.
120d020034	What ye know, I know also; I am not inferior to you.
120d03004b	But O that I might speak with the Almighty! O that I might reason with God!
120d04003f	For ye are forgers of lies; Physicians of no value, all of you!
120d050050	O that ye would altogether hold your peace! This, truly, would be wisdom in you.
120d060043	Hear, I pray you, my arguments; Attend to the pleadings of my lips!
120d07003e	Will ye speak falsehood for God? Will ye utter deceit for him?
120d080044	Will ye be partial to his person? Will ye contend earnestly for God?
120d090063	Will it be well for you, if he search you thoroughly? Can ye deceive him, as one may deceive a man?
120d0a0042	Surely he will rebuke you, If ye secretly have respect to persons.
120d0b0042	Doth not his majesty make you afraid, And his dread fall upon you?
120d0c0046	Your maxims are words of dust; Your fortresses are fortresses of clay.
120d0d0043	Hold your peace, and let me speak: And then come upon me what will!
120d0e003f	Why do I take my flesh in my teeth, And put my life in my hand?
120d0f004d	Lo! he slayeth me, and I have no hope! Yet will I justify my ways before him.
120d10004f	This also shall be my deliverance; For no unrighteous man will come before him.
120d11003a	Hear attentively my words, And give ear to my declaration!
120d120044	Behold, I have now set in order my cause; I know that I am innocent.
120d13004c	Who is he that can contend with me? For then would I hold my peace, and die!
120d14004e	Only do not unto me two things, Then will I not hide myself from thy presence;
