28020b0198	ⲞⲨⲞϨ ⲈⲦⲀⲨⲒ ⲈⲠⲒⲎⲒ ⲀⲨⲚⲀⲨ ⲈⲠⲒⲀⲖⲞⲨ ⲚⲈⲘ ⲘⲀⲢⲒⲀ ⲦⲈϤⲘⲀⲨ ⲞⲨⲞϨ ⲈⲦⲀⲨϨⲒⲦⲞⲨ ⲈϦⲢⲎ ⲒⲀⲨⲞⲨⲰϢⲦ ⲘⲘⲞϤ ⲞⲨⲞϨ ⲈⲦⲀⲨⲞⲨⲰⲚ ⲚⲚⲞⲨⲀϨⲰⲢ ⲀⲨⲒⲚⲒ ⲚⲀϤ ⲚϨⲀⲚⲆⲰⲢⲞⲚ ⲞⲨⲚⲞⲨⲂ ⲚⲈⲘ ⲞⲨⲖⲒⲂⲀⲚⲞⲤ ⲚⲈⲘ ⲞⲨϢⲀⲖ.
28020c00e4	ⲞⲨⲞϨ ⲈⲦⲀⲨⲦⲀⲘⲰⲞⲨ ϦⲈⲚⲞⲨⲢⲀⲤⲞⲨⲒ ⲈϢⲦⲈⲘⲔⲞⲦⲞⲨ ϨⲀ ⲎⲢⲰⲆⲎⲤ ⲈⲂⲞⲖ ϨⲒⲦⲈⲚ ⲔⲈⲘⲰⲒⲦ ⲀⲨϢⲈ ⲚⲰⲞⲨ ⲈⲦⲞⲨⲬⲰⲢⲀ.
28020d01f3	ⲈⲦⲀⲨϢⲈ ⲚⲰⲞⲨ ⲆⲈ ϨⲎⲠⲠⲈ ⲒⲤ ⲞⲨⲀⲄⲄⲈⲖⲞⲤ ⲚⲦⲈⲠϬⲞⲒⲤ ⲀϤⲞⲨⲞⲚϨϤ ⲈⲒⲰⲤⲎⲪ ϦⲈⲚⲞⲨⲢⲀⲤⲞⲨⲒ ⲈϤϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲦⲰⲚⲔ ⲀⲖⲒⲞⲨⲒ ⲘⲠⲒⲀⲖⲞⲨ ⲚⲈⲘ ⲦⲈϤⲘⲀⲨ ⲞⲨⲞϨ ⲪⲰⲦ ⲈⲬⲎⲘⲒ ⲞⲨⲞϨ ϢⲰⲠⲒ ⲘⲘⲀⲨ ϢⲀϮϪⲞⲤ ⲚⲀⲔ ϤⲚⲀⲔⲰϮ ⲄⲀⲢ ⲚϪⲈⲎⲢⲰⲆⲎⲤ ⲚⲤⲀⲠⲒⲀⲖⲞⲨ ⲈⲦⲀⲔⲞϤ.
28020e009f	ⲚⲐⲞϤ ⲆⲈ ⲀϤⲦⲰⲚϤ ⲀϤϬⲒ ⲘⲠⲒⲀⲖⲞⲨ ⲚⲈⲘ ⲦⲈϤⲘⲀⲨ ⲚϪⲰⲢϨ ⲞⲨⲞϨ ⲀϤϢⲈ ⲚⲀϤ ⲈⲬⲎⲘⲒ.
28020f015c	ⲞⲨⲞϨ ⲚⲀϤⲬⲎ ⲘⲘⲀⲨ ⲠⲈ ϢⲀ ⲦϦⲀⲎ ⲚⲎⲢⲰⲆⲎⲤ ϨⲒⲚⲀ ⲚⲦⲈϤϪⲰⲔ ⲈⲂⲞⲖ ⲚϪⲈⲪⲎ ⲈⲦⲀ ⲠϬⲞⲒⲤ ϪⲞϤ ⲈⲂⲞⲖ ϨⲒⲦⲞⲦϤ ⲘⲠⲒⲠⲢⲞⲪⲎ ⲦⲎⲤ ⲈϤϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲀⲒⲘⲞⲨϮ ⲈⲠⲀϢⲎⲢⲒ ⲈⲂⲞⲖ ϦⲈⲚⲬⲎⲘⲒ.
28021001ff	ⲦⲞⲦⲈ ⲎⲢⲰⲆⲎⲤ ⲈⲦⲀϤⲚⲀⲨ ϪⲈ ⲀⲨⲤⲰⲂⲒ ⲘⲘⲞϤ ⲚϪⲈⲚⲒⲘⲀⲄⲞⲤ ⲀϤⲘⲂⲞⲚ ⲈⲘⲀϢⲰ ⲞⲨⲞϨ ⲀϤⲞⲨⲰⲢⲠ ⲀϤϦⲰⲦⲈⲂ ⲚⲀⲖⲞⲨ ⲚⲒⲂⲈⲚ ⲈⲦϦⲈⲚ ⲂⲎⲐⲖⲈⲈⲘ ⲚⲈⲘ ϦⲈⲚⲚⲈⲤϬⲒⲎ ⲦⲎⲢⲞⲨ ⲒⲤϪⲈⲚ ⲢⲞⲘⲠⲒ ⲤⲚⲞⲨϮ ⲚⲈⲘ ⲤⲀⲠⲈⲤⲎⲦ ⲔⲀⲦⲀ ⲠⲒⲤⲎⲞⲨ ⲈⲦⲀϤϦⲈⲦϦⲰⲦϤ ⲚⲦⲞⲦⲞⲨ ⲚⲚⲒⲘⲀⲄⲞⲤ.
28021100bb	ⲦⲞⲦⲈ ⲀϤϪⲰⲔ ⲈⲂⲞⲖ ⲚϪⲈⲪⲎ ⲈⲦⲀϤϪⲞϤ ⲈⲂⲞⲖ ϨⲒⲦⲞⲦϤ ⲚⲒⲈⲢⲈⲘⲒⲀⲤ ⲠⲒⲠⲢⲞⲪⲎⲦⲎⲤ ⲈϤϪⲰ ⲘⲘⲞⲤ.
28021200e5	ϪⲈ ⲞⲨⲤⲘⲎ ⲀⲨⲤⲞⲐⲘⲈⲤ ϦⲈⲚⲢⲀⲘⲀ ⲢⲀⲬⲎⲖ ⲈⲤⲢⲒⲘⲒ ⲈⲚⲈⲤϢⲎⲢⲒ ⲞⲨⲞϨ ⲚⲀⲤⲞⲨⲰϢ ⲀⲚ ⲠⲈ ⲈϮⲚⲞⲘϮ ⲚⲀⲤ ϪⲈ ⲤⲈϢⲞⲠ ⲀⲚ.
28021300f8	ⲈⲦⲀϤⲘⲞⲨ ⲆⲈ ⲚϪⲈⲎⲢⲰⲆⲎⲤ ϨⲎⲠⲠⲈ ⲒⲤ ⲞⲨⲀⲄⲄⲈⲖⲞⲤ ⲚⲦⲈⲠϬⲞⲒⲤ ⲀϤⲞⲨⲞⲚϨϤ ⲈⲒⲰⲤⲎⲪ ϦⲈⲚⲞⲨⲢⲀⲤⲞⲨⲒ ϦⲈⲚⲬⲎⲘⲒ ⲈϤϪⲰ ⲘⲘⲞⲤ.
28021400f6	ϪⲈ ⲦⲰⲚⲔ ϬⲒ ⲘⲠⲒⲀⲖⲞⲨ ⲚⲈⲘ ⲦⲈϤⲘⲀⲨ ⲞⲨⲞϨ ⲘⲀϢⲈ ⲚⲀⲔ ⲈⲠⲔⲀϨⲒ ⲘⲠⲒⲤⲖ ⲀⲨⲘⲞⲨ ⲄⲀⲢ ⲚϪⲈⲚⲎ ⲈⲦⲔⲰϮ ⲚⲤⲀⲦⲮⲨⲬⲎ ⲘⲠⲒⲀⲖⲞⲨ.
